name,item_type,quantity,age
Heather Nelson,orange,976,71
Melanie Burch,orange,6406,3
Pam Bryant,banana,5070,66
Steven Hughes,apple,3991,23
Rhonda Jenkins,apple,117,3
Kristen Mack,orange,9117,3
Tracie Wood,orange,8781,9
Kathleen Mcintyre,orange,9439,0
Nathan Walls,banana,433,6
Kirk Dean,banana,2718,18
Monica Johnson,apple,173,48
Travis White,banana,6796,2
Patricia Flores,orange,3238,24
Patrick Rice,orange,6202,5
Christopher Cameron,banana,3262,49
Jamie Garcia,apple,9953,1
Amber Snyder,orange,8741,64
Scott Buckley,apple,754,35
Jeffrey Clark,banana,2527,59
David Mills,apple,9059,51
David Stokes,banana,843,8
Alexander Jensen,orange,889,83
Sarah Morales,apple,026,84
Carolyn Cowan,apple,339,58
Martha Mendez,orange,679,1
Jonathan White,banana,2627,9
Kimberly Berry,banana,937,1
Joshua Morris,apple,534,84
Elizabeth Zhang,orange,9234,38
Nicole Thompson,banana,6640,1
Sara Scott,orange,541,2
Benjamin Green,banana,1035,2
Raymond Hughes,orange,6115,5
Todd Mills,apple,488,4
Benjamin Jones,apple,8767,8
Elizabeth Sanchez,apple,4273,6
Carla Pena,banana,912,32
Timothy Terry,apple,4145,45
Sarah Bates,orange,2458,0
Angela Jackson,banana,6323,2
David Brandt,banana,783,7
Denise Sanders,orange,609,1
Diane Preston,banana,2086,6
Amy Jones,orange,199,87
Gavin Wilkins,apple,4729,55
Nicholas Roberts,banana,1923,7
Ronald Sims,apple,785,53
Sandra Sanders,orange,7852,58
Frances Smith,banana,989,20
Jeffrey Martinez,orange,221,17
Robert Brown,apple,4749,3
Martha Herrera,apple,301,54
Melanie Stevenson,orange,976,20
Mike Robles,orange,727,51
James Duncan,orange,401,32
Tracey Rogers,banana,8882,7
Mary Smith,orange,692,8
Jason Harris,apple,538,3
Kelli Lee,banana,7077,21
Andrew Wilson,orange,976,64
Kimberly Larson,banana,988,2
Matthew Sullivan,banana,7526,59
Jonathan Reed,orange,8542,52
Chad Mitchell,banana,781,3
Amy Reese,banana,1843,6
Allison Khan,orange,8435,93
Gregory Warner,apple,954,7
Brian Hensley,apple,850,3
Amber Johnson,banana,601,3
Emily Pham,banana,4773,7
Linda Hardy,banana,789,6
Antonio Hughes,apple,647,94
Thomas Hampton,apple,165,4
Adam Solomon,orange,9650,7
Lawrence Hinton,orange,5417,70
Thomas Valdez,banana,818,74
Gary Jones,orange,7570,66
Ashley Harper,orange,349,59
Jennifer Marshall,banana,5283,31
Savannah Huff,orange,6681,9
Mr. Mark Johnson,orange,301,51
Angela Rodriguez,apple,592,7
Amber Singh,apple,6605,5
Zachary Garcia,banana,4114,50
William Dean,orange,018,2
Angela Reed,orange,2303,10
Rebecca Scott,orange,212,33
Mrs. Susan Mcdaniel,banana,249,7
Gabriel Richardson,orange,4534,71
Miss Susan Smith,orange,935,1
Alicia Bruce,orange,3542,36
Lisa Golden,banana,8025,6
Justin Hickman,banana,5092,78
Susan Walsh,apple,256,4
Thomas Campbell,orange,7426,7
Molly Lewis,orange,4010,39
Christopher Clark,orange,5274,9
Jennifer Barnes,banana,2428,8
Rebecca Flores,banana,447,6
Gregory Yates,banana,5933,9
